id;parent;department_id;code;title;calendar
1147;;10000001040;10000001040;Министерство иностранных дел Российской Федерации;180731844
1148;316185;10000001030;10000001030;Федеральное агентство по техническому регулированию и метрологии;180731844
1150;;10000001265;10000001265;Министерство обороны Российской Федерации;180731844
1151;1150;10001761399;10001761399;Федеральное агентство по поставкам вооружения, военной, специальной техники и материальных средств;180731844
27786;;3800000010000000833;3800000010000000833;Министерство сельского хозяйства Иркутской области;180731844
38111;;38111;38111;Администрация г.Шелехов;180731844
38112;;38112;3800000010000070564;Администрация Шелеховского района;180731844
38113;;38113;38113;Филиал Областного государственного унитарного предприятия «Областной центр технической инвентаризации – Областное БТИ» Шелеховский центр технической инвентаризации;180731844
38114;;38114;38114;ООО Геосфера;180731844
38115;;38115;38115;ООО Землемер;180731844
38116;;38116;38116;Тестовое_ведомство;180731844
38117;;38117;38117;Управление по распоряжению муниципальным имуществом Администрации Шелеховского муниципального района (УМИ Шелеховского района);180731844
38118;;38118;38118;Отдел по градостроительной деятельности Администрации Шелеховского муниципального района (ОГД Шелеховского района);180731844
38119;;38119;38119;Отдел по градостроительной деятельности Администрации Шелеховского городского поселения (ОГД г. Шелехов);180731844
38120;;38120;38120;ОГКУ Центр занятости населения г.Шелехова;180731844
62881;;38121;38121;Администрация Большелугского городского поселения;180731844
62882;;38122;38122;Администрация Олхинского сельского поселения;180731844
62893;;38123;38123;Администрация Подкаменского сельского поселения;180731844
62894;;38124;38124;Администрация Баклашинского сельского поселения;180731844
62895;;38125;38125;Администрация Шаманского сельского поселения;180731844
63305;;10000002463;10000002463;Федеральное агентство по рыболовству;180731844
102821;;10000000978;10000000978;Федеральная служба Российской Федерации по контролю за оборотом наркотиков (федеральная служба);180731844
122414;1150;10000001025;10000001025;Федеральная служба по техническому и экспортному контролю;180731844
135373;;38126;3800000010000018877;Администрация Иркутского районного муниципального образования;180731844
138450;316166;10000000961;10000000961;Федеральное агентство морского и речного транспорта;180731844
239969;;38110;3800000010000130180;Администрация Шелеховского городского поселения;180731844
253925;;1053;1053;Енисейское бассейновое водное управление Федерального агентства водных ресурсов;180731844
272899;;1234567890;1234567890;Государственное учреждение-Иркутское региональное отделение Фонда социального страхования РФ;180731844
272900;;12345678900;1000000000569541;Территориальное управление Федерального агентства по управлению государственным имуществом в Иркутской области;180731844
316121;;10000001022;10001298075;Федеральная миграционная служба;180731844
316122;;10000001197;10000001197;Министерство внутренних дел Российской Федерации;180731844
316123;;10000001077;10000001077;Министерство здравоохранения Российской Федерации;180731844
316124;316123;10000001214;10000001214;Федеральное медико-биологическое агентство;180731844
316125;316123;10000001082;10001013897;Управление Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Иркутской области;180731844
316126;316123;10000001127;10000001127;Федеральная служба по надзору в сфере здравоохранения;180731844
316127;316123;10000002799;10000002799;Федеральный Фонд обязательного медицинского страхования;180731844
316128;;10000001242;10000001242;Министерство финансов Российской Федерации;180731844
316129;316128;10000001169;10003716045;Управление Федеральной налоговой службы по Иркутской области;180731844
316130;;10000002796;10000002796;Пенсионный фонд Российской Федерации;180731844
316131;;10002475450;10002475450;Министерство труда и социальной защиты Российской Федерации;180731844
316132;316131;10000001764;10001903047;Фонд социального страхования Российской Федерации;180731844
316133;;10000001047;10000001047;Министерство экономического развития Российской Федерации;180731844
316134;316133;10000001055;10001742404;Управление Федеральной службы государственной регистрации, кадастра и картографии по Иркутской области;180731844
316135;316133;10002448426;10002448426;Федеральная служба по аккредитации;180731844
316136;;10000001080;10000001080;Министерство природных ресурсов и экологии Российской Федерации;180731844
316137;316136;10000000971;10000000971;Федеральное агентство по недропользованию;180731844
316138;316136;10000002823;10000002823;Федеральная служба по надзору в сфере природопользования;180731844
316139;316136;10000001032;10000001032;Федеральное агентство водных ресурсов;180731844
316140;316136;10000001115;10000001115;Федеральная служба по гидрометеорологии и мониторингу окружающей среды;180731844
316141;;10000001089;10000001089;Министерство сельского хозяйства Российской Федерации;180731844
316142;316141;10000000988;10000000988;Федеральная служба по ветеринарному и фитосанитарному надзору;180731844
316143;;10000000976;10000000976;Министерство образования и науки Российской Федерации;180731844
316144;316143;10000001211;10000001211;Федеральная служба по надзору в сфере образования и науки;180731844
316145;;10000001052;10000001052;Федеральная служба по экологическому, технологическому и атомному надзору;180731844
316146;;10000001245;10000001245;Федеральная служба по интеллектуальной собственности;180731844
316147;;10000001188;10000001188;Министерство культуры Российской Федерации;180731844
316148;;10000001087;10000001087;Федеральная служба по регулированию алкогольного рынка;180731844
316149;;10000001001;10000001001;Федеральная таможенная служба;180731844
316150;;3800000010000000724;3800000010000000724;Агентство государственной экспертизы в строительстве  Иркутской области;180731844
316151;;3800000010000001631;3800000010000001631;Администрация города Иркутска;180731844
316152;;3800000010000000169;3800000010000000169;Архивное агентство Иркутской области;180731844
316153;;10000001257;10000001257;Главное управление МЧС России по Иркутской области;180731844
316154;;3800000010000001556;3800000010000001556;Министерство жилищной политики, энергетики, транспорта и связи Иркутской области;180731844
