id;cpgu_order;related_order
234314686;6629835;6631061
234372602;6629835;6632108
234256106;6629855;6629945
234256105;6629945;6629855
234260447;6630020;6561841
234271970;6630087;6630273
234271969;6630273;6630087
234308739;6630323;6631010
234280733;6630408;6629484
234282218;6630431;6630480
234282217;6630480;6630431
234287442;6630480;6630598
234285090;6630531;6629484
234287441;6630598;6630480
234296969;6630726;6629484
234302159;6630867;6629484
234301740;6630868;6630882
234301739;6630882;6630868
234304218;6630882;6630921
234304217;6630921;6630882
234304569;6630921;6630926
234304568;6630926;6630921
234315103;6630949;6629835
234308738;6631010;6630323
234314687;6631061;6629835
234331559;6631130;6631184
234316652;6631139;6631165
234320675;6631139;6631221
234316651;6631165;6631139
234331560;6631184;6631130
234320676;6631221;6631139
234323382;6631286;6631306
234325007;6631286;6631329
234325248;6631286;6631335
234323381;6631306;6631286
234325006;6631329;6631286
234325247;6631335;6631286
234329309;6631396;6631404
234329572;6631404;6631408
234329308;6631404;6631396
234330505;6631408;6631433
234329571;6631408;6631404
234334928;6631433;6631518
234330504;6631433;6631408
234330864;6631433;6631439
234330863;6631439;6631433
234331275;6631439;6631448
234331676;6631448;6631460
234331274;6631448;6631439
234331675;6631460;6631448
234332273;6631460;6631477
234332648;6631477;6631489
234332272;6631477;6631460
234332647;6631489;6631477
234332985;6631489;6631491
234332984;6631491;6631489
234333672;6631491;6631498
234340833;6631493;6631641
234333671;6631498;6631491
234334927;6631518;6631433
234342839;6631605;6631618
234342743;6631605;6631663
234342840;6631618;6631605
234346450;6631641;6631745
234340832;6631641;6631493
234342744;6631663;6631605
234346349;6631711;6631743
234392012;6631711;6632574
234357926;6631722;6631957
234372787;6631731;6629835
234347531;6631743;6631773
234346348;6631743;6631711
234351222;6631745;6631840
234346449;6631745;6631641
234347725;6631773;6631777
234347530;6631773;6631743
234347724;6631777;6631773
234351221;6631840;6631745
234358421;6631840;6631965
234357444;6631882;6629835
234355670;6631916;6631920
234355669;6631920;6631916
234355972;6631920;6631923
234355971;6631923;6631920
234357925;6631957;6631722
234358420;6631965;6631840
234361809;6631965;6632019
234363458;6631997;6632049
234365557;6632019;6632086
234361808;6632019;6631965
234366523;6632049;6632111
234363457;6632049;6631997
234365556;6632086;6632019
234369787;6632086;6632171
234372603;6632108;6629835
244089426;6632108;6819948
234366522;6632111;6632049
234375603;6632159;6632197
234375647;6632159;6632251
234369786;6632171;6632086
234375027;6632171;6632277
234372464;6632187;6629835
234375604;6632197;6632159
234375648;6632251;6632159
234375026;6632277;6632171
234378658;6632277;6632342
234384222;6632342;6632438
234378657;6632342;6632277
234384266;6632390;6629835
234384221;6632438;6632342
234389090;6632438;6632517
234389089;6632517;6632438
234392458;6632517;6632586
234392194;6632562;6632579
234392011;6632574;6631711
234392193;6632579;6632562
234392457;6632586;6632517
234397307;6632586;6632675
234399131;6632602;6632691
234401553;6632675;6632742
234397306;6632675;6632586
234399130;6632691;6632602
234404796;6632742;6632794
234401552;6632742;6632675
234404795;6632794;6632742
234418903;6632968;6633040
234416520;6632968;6633004
234416519;6633004;6632968
234418902;6633040;6632968
234429811;6633158;6633216
234430672;6633216;6633226
234429810;6633216;6633158
234430671;6633226;6633216
234431295;6633226;6633232
234431294;6633232;6633226
234434493;6633232;6633275
234434492;6633275;6633232
234434906;6633275;6633285
234434905;6633285;6633275
234439124;6633316;6633355
234439123;6633355;6633316
234447785;6633395;6633518
234447296;6633408;6633513
234447295;6633513;6633408
234447784;6633518;6633395
234456917;6633615;6633675
234453814;6633615;6633643
234455508;6633643;6633675
234453813;6633643;6633615
234455507;6633675;6633643
234456918;6633675;6633615
234467595;6633839;6633923
234464886;6633843;6633874
234464885;6633874;6633843
234467594;6633923;6633839
234470854;6633970;6633971
234470853;6633971;6633970
234494599;6634073;6634138
234495428;6634098;6634151
234498864;6634098;6634233
234494598;6634138;6634073
234495427;6634151;6634098
234499341;6634193;6634240
234500901;6634193;6634269
234498863;6634233;6634098
234499340;6634240;6634193
234500900;6634269;6634193
234509781;6634356;6634451
234509780;6634451;6634356
234524202;6634539;6634767
234520991;6634561;6634706
234642703;6634639;6637239
234520990;6634706;6634561
234524201;6634767;6634539
234743524;6634978;6638634
234540390;6635077;6635160
234542231;6635077;6635197
234540389;6635160;6635077
234542230;6635197;6635077
234818898;6635226;6641434
234557322;6635248;6635516
234752532;6635260;6638634
234549930;6635302;6635356
234552844;6635356;6635412
234549929;6635356;6635302
234817391;6635404;6641434
234552843;6635412;6635356
234557321;6635516;6635248
234674398;6635614;6638068
234631751;6635614;6637144
234621011;6635614;6636778
234603580;6635614;6636237
234639569;6635614;6637424
234752255;6635643;6638634
234571570;6635718;6635828
234569205;6635718;6635776
234569204;6635776;6635718
234752042;6635810;6638634
234571569;6635828;6635718
234585070;6635887;6636163
234843814;6635939;6641434
234590182;6636043;6636287
234585069;6636163;6635887
234594631;6636170;6636386
234603581;6636237;6635614
234590181;6636287;6636043
234590847;6636287;6636307
234591276;6636307;6636324
234590846;6636307;6636287
234591275;6636324;6636307
234591924;6636324;6636339
234591923;6636339;6636324
234592716;6636339;6636360
234592715;6636360;6636339
234751921;6636383;6638634
234730509;6636386;6639511
234769364;6636386;6640305
234783290;6636386;6640718
234778197;6636386;6640618
234802636;6636386;6641128
234794740;6636386;6640989
234608998;6636386;6636707
234636237;6636386;6637359
234651826;6636386;6637672
234697442;6636386;6638799
234723702;6636386;6639361
234787121;6636386;6640832
234664865;6636386;6638060
234744244;6636386;6639825
234804713;6636386;6641196
234712602;6636386;6639084
234791408;6636386;6640910
234594630;6636386;6636170
234769683;6636386;6640434
234776593;6636386;6640552
234811575;6636386;6641300
234812883;6636386;6641362
234843948;6636650;6641434
234608999;6636707;6636386
234621012;6636778;6635614
234615389;6636838;6636892
234615388;6636892;6636838
234819554;6636962;6641434
234751771;6637092;6638634
234631752;6637144;6635614
234642704;6637239;6634639
234751626;6637247;6638634
234636238;6637359;6636386
234634612;6637383;6596258
234639570;6637424;6635614
234751519;6637432;6638634
234638102;6637434;6637466
234643480;6637434;6637588
234638101;6637466;6637434
237555318;6637505;6694434
234820086;6637567;6641434
234643479;6637588;6637434
234751371;6637628;6638634
234651827;6637672;6636386
234666532;6637780;6637916
234844123;6637788;6641434
234666531;6637916;6637780
234751229;6637939;6638634
234820473;6638024;6641434
234664866;6638060;6636386
234674399;6638068;6635614
234667219;6638105;6638130
234667218;6638130;6638105
234750956;6638193;6638634
234678890;6638305;6638414
234751104;6638381;6638634
234679832;6638395;6638436
234685199;6638395;6638548
234678889;6638414;6638305
234684295;6638414;6638532
